,author,frequency,sentence
56,EAP,0.9382395892116364,"in a few minutes we soared over them in fine style; and mr. ainsworth, with the seamen, was surprised at their apparent want of altitude when viewed from the car, the tendency of great elevation in a balloon being to reduce inequalities of the surface below, to nearly a dead level."
57,MWS,0.07413409596441055,restrain your impatience or you may mar what you attempt to alleviate.
58,EAP,0.3794278428010804,"should she indeed awake, and see me, and curse me, and denounce the murderer?"
59,EAP,0.7910863749736148,"we were assured that, when the name and title of englishman was the sole patent of nobility, we should all be noble; that when no man born under english sway, felt another his superior in rank, courtesy and refinement would become the birth right of all our countrymen."
60,EAP,0.29842034298416037,"he is dead who called me into being; and when i shall be no more, the very remembrance of us both will speedily vanish."
61,EAP,0.3708640082019824,"olney walked out along the lesser cliffs to where the great crag leaped insolently up to consort with celestial things, and became very sure that no human feet could mount it or descend it on that beetling southern slope."
62,EAP,0.5073511990660768,"much of the material which i correlated will be later published by the american archaeological society, but there was one box which i found exceedingly puzzling, and which i felt much averse from shewing to other eyes."
63,EAP,0.06429337595147736,in this she did not succeed.
64,HPL,0.5343016939604875,and this fall this rushing annihilation for the very reason that it involves that one most ghastly and loathsome of all the most ghastly and loathsome images of death and suffering which have ever presented themselves to our imagination for this very cause do we now the most vividly desire it.
65,EAP,0.5310223616023159,"at some time during this shocking period the cold wind and the screaming must have roused me, for my next impression is of racing madly through inky rooms and corridors and out across the courtyard into the hideous night."
66,HPL,0.08964712509556191,was he murdered by the gang?
67,EAP,0.14584796178151885,"there were no skeletons about, so that departure rather than death was inferred."
68,EAP,0.1016287655241041,yet the sashes were fastened.
69,EAP,0.3466328363609734,"his recollections were very confused, but the scene with the black man in the unknown space stood out vividly."
70,EAP,0.1347210076721275,"upon my word, she looks better than she did at paris five years ago."
71,EAP,2.266069036223988,"and she said to me, not many days afterward, tranquilly dying, that, because of what i had done for the comfort of her spirit she would watch over me in that spirit when departed, and, if so it were permitted her return to me visibly in the watches of the night; but, if this thing were, indeed, beyond the power of the souls in paradise, that she would, at least, give me frequent indications of her presence, sighing upon me in the evening winds, or filling the air which i breathed with perfume from the censers of the angels."
72,EAP,0.7956913745643776,"darkness had no effect upon my fancy, and a churchyard was to me merely the receptacle of bodies deprived of life, which, from being the seat of beauty and strength, had become food for the worm."
73,EAP,0.4700761181878099,"these we placed in the cellar during the day, screening the windows with paper and planning to return in the evening for our first vigil."
74,EAP,0.05793942422427942,we appreciate them only in their effects.
75,MWS,0.18846520495710206,"my poor cousin, how much you must have suffered i expect to see you looking even more ill than when you quitted geneva."
76,EAP,0.8052072249815845,"besides, here i am, cooped up in a dirty balloon, with some one or two hundred of the canaille, all bound on a pleasure excursion, what a funny idea some people have of pleasure and i have no prospect of touching terra firma for a month at least."
77,EAP,0.28172345017424905,"an air of stern, deep, and irredeemable gloom hung over and pervaded all."
78,HPL,0.08629024377626156,he can do nothing but roll over and die.
79,EAP,0.47857102856478234,"in this dear intercourse, love, in the guise of enthusiastic friendship, infused more and more of his omnipotent spirit."
80,HPL,0.22675618350184798,and some of them had tall tiaras of that nameless whitish gold metal . . .
81,EAP,0.4270674035814748,"is it not, indeed, possible that while a high order of genius is necessarily ambitious, the highest is invariably above that which is termed ambition?"
82,MWS,0.25170532782544225,"i trembled with rage and horror, resolving to wait his approach and then close with him in mortal combat."
83,EAP,0.24339727490856772,"it was seldom indeed that we escaped, to use an old fashioned phrase, scot free."
84,EAP,0.9116736093461246,"the librarian gave me a note of introduction to the curator of the society, a miss anna tilton, who lived nearby, and after a brief explanation that ancient gentlewoman was kind enough to pilot me into the closed building, since the hour was not outrageously late."
85,EAP,0.3434235522682531,"night fell upon every country, night, sudden, rayless, entire."
86,EAP,0.895467801618858,"thus the brief period of his residence at the university forms an era in its annals, and is characterized by all classes of people appertaining to it or its dependencies as ""that very extraordinary epoch forming the domination of the baron ritzner von jung."" then of no particular age, by which i mean that it was impossible to form a guess respecting his age by any data personally afforded."
87,EAP,0.310882703897234,"""when alone, safie resolved in her own mind the plan of conduct that it would become her to pursue in this emergency."
88,HPL,0.5832006483839259,thereafter he bargained with them and exchanged the free access of his grounds for the exact inwardness of what they did; larning that their grandfathers got part of their custom from red ancestors and part from an old dutchman in the time of the states general.
89,MWS,0.02645376549094375,"""is my father indeed come?"
90,EAP,0.41572506127794123,"there are twenty of these medallions, all containing different questions, to which the magician returns the most suitable and striking answers."
91,HPL,0.03534497128831817,was not that an exceedingly singular thing?
92,EAP,0.18764188697289125,"this was done by fellows who had no pocket handkerchiefs.' ""i have before suggested that a genuine blackguard is never without a pocket handkerchief."
93,EAP,0.3850882445431401,"when their leaders perceived us drawn out in opposition, they also gave the word to halt, and endeavoured to form their men into some imitation of military discipline."
94,EAP,0.3263691150560656,"arousing from the most profound of slumbers, we break the gossamer web of some dream."
95,EAP,0.14632612357251476,the town was full of tumult.
96,EAP,0.372862810643623,"he had not left the manuscript all night, but sat at his table under the electric light turning page after page with shaking hands as fast as he could decipher the cryptic text."
97,EAP,0.3169738820275783,"baudelaire and huysmans were soon exhausted of thrills, till finally there remained for us only the more direct stimuli of unnatural personal experiences and adventures."
98,MWS,0.4279048829573139,"my temper was sometimes violent, and my passions vehement; but by some law in my temperature they were turned not towards childish pursuits but to an eager desire to learn, and not to learn all things indiscriminately."
99,EAP,0.3989204743709587,"there was hope that this second and artificial life might be made perpetual by repetitions of the injection, but we had learned that an ordinary natural life would not respond to the action."
100,EAP,0.6237685179999914,"he came in gaily, singing the tyrolese song of liberty; noticed me with a gracious nod, and threw himself on a sopha opposite the copy of a bust of the apollo belvidere."
101,EAP,1.2179297748331819,"his activity was fed in wholesome measure, without either exhaustion or satiety; his taste and genius found worthy expression in each of the modes human beings have invented to encage and manifest the spirit of beauty; the goodness of his heart made him never weary of conducing to the well being of his fellow creatures; his magnificent spirit, and aspirations for the respect and love of mankind, now received fruition; true, his exaltation was temporary; perhaps it were better that it should be so."
102,EAP,1.0350436591869532,"the watchtower of athens was besieged by inquirers, each sail eagerly looked out for; till on the first of may the gallant frigate bore in sight, freighted with treasure more invaluable than the wealth which, piloted from mexico, the vexed pacific swallowed, or that was conveyed over its tranquil bosom to enrich the crown of spain."
103,EAP,0.2696746345939286,"here, i thought, is one of those whose joy imparting smiles are bestowed on all but me."
104,EAP,0.8892430828081451,"a combustion irresistible, all devouring, omni prevalent, immediate; the entire fulfilment, in all their minute and terrible details, of the fiery and horror inspiring denunciations of the prophecies of the holy book."
105,EAP,0.7451440731630621,"while i, not proudly as in days of joy, yet tenderly, and with glad consciousness of the comfort i afforded, drew my trembling girl close to my heart, and tried to ward every painful thought or rough circumstance from her sensitive nature."
106,MWS,0.19674822582353566,"might not her mother take advantage of adrian's absence to urge her beyond her sufferance, perhaps to entrap her?"
107,EAP,1.0914495194689395,"yet he suffered fearful agony; during the day he was more calm, but at night when i could not be with him he seemed to give the reins to his grief: he often passed his nights either on the floor in my mother's room, or in the garden; and when in the morning he saw me view with poignant grief his exhausted frame, and his person languid almost to death with watching he wept; but during all this time he spoke no word by which i might guess the cause of his unhappiness."
108,EAP,0.5710974890044326,i forced myself to ponder upon the sound of the crescent as it should pass across the garment upon the peculiar thrilling sensation which the friction of cloth produces on the nerves.
109,EAP,0.3290399286634301,"but 'soon after dark,' is, at least, dark; and 'about dusk' is as certainly daylight."
110,EAP,0.6590921818393292,"i snatched from the scrutiny of the world a being whom destiny compelled me to adore, and in the rigorous seclusion of my home, watched with an agonizing anxiety over all which concerned the beloved."
111,HPL,0.048370130653959564,there was sir positive paradox.
112,MWS,0.07815379726723864,there she beheld her evelyn lying fever stricken and motionless.
113,EAP,0.4383882070655943,when i came out of the shadows i was in a san francisco hospital; brought thither by the captain of the american ship which had picked up my boat in mid ocean.
114,EAP,0.3836322203507382,"totally separate and apart, its very material was a mystery; for the soapy, greenish black stone with its golden or iridescent flecks and striations resembled nothing familiar to geology or mineralogy."
115,EAP,0.34297554482443704,"foremost among the living objects were great inky, jellyish monstrosities which flabbily quivered in harmony with the vibrations from the machine."
116,EAP,0.29534890733569114,"we shall continue as we have ever done, one heart, one hope, one life."""
117,HPL,0.15606049284076082,my eighth and last speculation has been in the cat growing way.
118,EAP,1.3131313566440797,"his name, as given on the records, was joe slater, or slaader, and his appearance was that of the typical denizen of the catskill mountain region; one of those strange, repellent scions of a primitive colonial peasant stock whose isolation for nearly three centuries in the hilly fastnesses of a little travelled countryside has caused them to sink to a kind of barbaric degeneracy, rather than advance with their more fortunately placed brethren of the thickly settled districts."
119,EAP,0.41680200224865277,"i have lately read a singular and somewhat ingenious little book, whose title page runs thus: ""l'homme dans la lvne ou le voyage chimerique fait au monde de la lvne, nouellement decouvert par dominique gonzales, aduanturier espagnol, autrem?t dit le courier volant."
120,EAP,0.5106638694919855,"i therefore postponed operations until about eight the next night, when the arrival of a medical student with whom i had some acquaintance, mr. theodore l l, relieved me from farther embarrassment."
121,EAP,0.3077595750821706,"monsieur maillard, you have really i must confess it you have really made me ashamed of myself"" and this was the fact."
122,EAP,0.8754668539108035,"the agony of my feelings allowed me no respite; no incident occurred from which my rage and misery could not extract its food; but a circumstance that happened when i arrived on the confines of switzerland, when the sun had recovered its warmth and the earth again began to look green, confirmed in an especial manner the bitterness and horror of my feelings."
123,EAP,0.12134109305200763,the drawing itself became ineffably dear to her.
124,EAP,0.32208719775651656,"the second chamber was purple in its ornaments and tapestries, and here the panes were purple."
125,MWS,0.5659517000317762,"all through seven lands have i sought thee, and some day shall i reign over thy groves and gardens, thy streets and palaces, and sing to men who shall know whereof i sing, and laugh not nor turn away."
126,EAP,0.21400540193590908,"corn we have none, and the crude fruits cannot support us."
127,EAP,0.40462395375184707,"it would be of no use, my informant said, to ask the natives anything about the place."
128,EAP,1.5832626142095902,"when called upon to play thomas hawk, i anointed a sheet of fools cap with the white of a gander's egg; then, shredding the thing to be reviewed as i had previously shredded the books, only with more care, so as to get every word separate i threw the latter shreds in with the former, screwed on the lid of the castor, gave it a shake, and so dusted out the mixture upon the egg'd foolscap; where it stuck."
129,EAP,0.3244176980171363,"we stayed a day at mannheim, and on the fifth from our departure from strasbourg, arrived at mainz."
130,EAP,0.7948427450794566,"oh many things: there was the moonshine, and the bright stars; the breezes and the refreshing rains; there was the whole earth and the sky that covers it: all lovely forms that visited my imagination, all memories of heroism and virtue."
131,EAP,0.1445340937972508,"it'll be ready to sarve ye soon, boy."
132,EAP,0.5446995119303522,"one day, whilst sauntering along the streets, i arrested myself in the act of murmuring, half aloud, these customary syllables."
133,EAP,0.3668922499019984,"he seemed relieved on seeing me, and would talk with some degree of interest on the affairs of the day."
134,EAP,0.36126200250711865,"but they were so systematically arranged, and his arguments so well supported, that though still in appearance incredulous, she began to fear him."
135,EAP,0.2748654900727582,the whole strength of evadne's mind was exerted to support the failing spirits of her husband.
136,EAP,0.5547839871800947,"the grounds were extensive, and a high and solid brick wall, topped with a bed of mortar and broken glass, encompassed the whole."
137,EAP,0.16672769332167364,i pitied him from the bottom of my heart.
138,EAP,0.5948203447072659,"you have your child, your brother, idris, adrian"" ""and you,"" cried perdita, ""the writer of that letter."""
139,EAP,0.4845545125980555,"far from the shore stands the grey lighthouse, above sunken slimy rocks that are seen when the tide is low, but unseen when the tide is high."
140,EAP,0.44270458647620614,"you must nominate me, lionel; ryland, for shame, cannot shew himself; but you, my friend, will do me this service?"
141,EAP,0.561125015615644,"never before had he, who was born even to the inheritance of the throne of england, never had he asked favour or honour from those now his equals, but who might have been his subjects."
142,EAP,0.49950245327153137,"for one thing, the people were more hideous and abnormal than those near the centre of the town; so that i was several times evilly reminded of something utterly fantastic which i could not quite place."
143,HPL,0.06315420386156313,then he gave a start.
144,EAP,2.8786029060175133,"as a last resource, therefore, having got rid of my coat, hat, and boots, i cut loose from the balloon the car itself, which was of no inconsiderable weight, and thus, clinging with both hands to the net work, i had barely time to observe that the whole country, as far as the eye could reach, was thickly interspersed with diminutive habitations, ere i tumbled headlong into the very heart of a fantastical looking city, and into the middle of a vast crowd of ugly little people, who none of them uttered a single syllable, or gave themselves the least trouble to render me assistance, but stood, like a parcel of idiots, grinning in a ludicrous manner, and eyeing me and my balloon askant, with their arms set a kimbo."
145,EAP,0.24718810712547223,"it was too good to be normal, and the villagers were afraid."
146,EAP,1.2370907085840814,"my companion spoke of the lightness of our cargo, and reminded me of the excellent qualities of our ship; but i could not help feeling the utter hopelessness of hope itself, and prepared myself gloomily for that death which i thought nothing could defer beyond an hour, as, with every knot of way the ship made, the swelling of the black stupendous seas became more dismally appalling."
147,EAP,0.14829907943085824,yet mine shall not be the submission of abject slavery.
148,EAP,0.2498158430940083,"what definite idea can a body attach to such expressions as ""methodical jack o' dandy,"" or ""a systematical will o' the wisp""?"
149,EAP,0.6901123895597039,"but monsieur froissart, he vas von ver big vat you call fool he vas von ver great big donce like yourself for he lef la belle france for come to dis stupide amerique and ven he get here he went and ave von ver stupide, von ver, ver stupide sonn, so i hear, dough i not yet av ad de plaisir to meet vid him neither me nor my companion, de madame stephanie lalande."
150,EAP,0.6726961001813567,"indeed, his behavior disappointed every expectation, and proved little in accordance with the views of many a manoeuvering mamma; while his habits and manner, still less than formerly, offered any thing congenial with those of the neighboring aristocracy."
151,EAP,0.8074817243117275,"my eyes then fell, as i called to mind the circumstances of a former night, to the spot beneath the glare of the censer where i had seen the faint traces of the shadow."
152,EAP,0.5017338749628456,"i now also began to collect the materials necessary for my new creation, and this was to me like the torture of single drops of water continually falling on the head."
153,EAP,0.30646293815343395,"""joe slater is dead,"" came the soul petrifying voice or agency from beyond the wall of sleep."
154,EAP,0.32707558833285233,"there was no light, but i knew from the empty space at my right that tobey was gone, god alone knew whither."
155,EAP,0.2881204795402754,"legrasse had one point in advance of professor webb, for several among his mongrel prisoners had repeated to him what older celebrants had told them the words meant."
156,EAP,0.35720408892947764,"vitality had not altogether departed, and she was aroused by the caresses of her lover from the lethargy which had been mistaken for death."
157,HPL,0.03836271562501796,thus passionately perdita ran on.
158,EAP,0.31409629575383713,"they elevated me from all littleness of feeling, and although they did not remove my grief, they subdued and tranquillized it."
159,EAP,0.39512533439017133,"this sentiment of the worth of my nature supported me when others would have been oppressed, for i deemed it criminal to throw away in useless grief those talents that might be useful to my fellow creatures."
160,EAP,0.43354197269739253,"we waited in vain for the arrival of the sixth day that day to me has not arrived to the swede, never did arrive."
161,EAP,0.32090687045261673,"still, as i ascended higher, the valley assumed a more magnificent and astonishing character."
162,MWS,0.30176888041521027,"adieu my cousin; take care of your self; and, i entreat you, write ""elizabeth lavenza."
163,EAP,0.3212902614381901,"for the most wild, yet most homely narrative which i am about to pen, i neither expect nor solicit belief."
164,EAP,0.45586480513830074,in bringing the body to the shore the fishermen had attached to it a rope; but none of the excoriations had been effected by this.
165,EAP,0.3306639556472631,"""my eyes well, kate well, bobby this is a judgment upon me, as you say."
166,HPL,0.10366670307120152,there would be bad doings and a child or two would probably be missing.
167,EAP,0.7214384485157601,"we possessed a house in geneva, and a campagne on belrive, the eastern shore of the lake, at the distance of rather more than a league from the city."
168,EAP,0.15090958434386295,the people around me saw nothing of all this.
169,MWS,0.16623768668573244,"they made buckingham their head quarters, and scouts were sent out to ascertain our situation."
170,EAP,0.39273883319907477,"besides nameless rites and human sacrifices there were certain queer hereditary rituals addressed to a supreme elder devil or tornasuk; and of this professor webb had taken a careful phonetic copy from an aged angekok or wizard priest, expressing the sounds in roman letters as best he knew how."
171,HPL,0.3833972328721455,i have murdered the lovely and the helpless; i have strangled the innocent as they slept and grasped to death his throat who never injured me or any other living thing.
172,EAP,0.7657265689953002,"if i bid st. eustache call for me at dark, he will be sure not to call before; but, if i wholly neglect to bid him call, my time for escape will be diminished, since it will be expected that i return the earlier, and my absence will the sooner excite anxiety."
173,EAP,0.31955423259340315,"but it might have been long; for i knew there were demons who took note of my swoon, and who could have arrested the vibration at pleasure."
174,EAP,0.7092517844911882,"the evening edition of the paper stated that the greatest excitement still continued in the quartier st. roch that the premises in question had been carefully re searched, and fresh examinations of witnesses instituted, but all to no purpose."
175,MWS,0.4061857854040886,"conversation, also, soon tended to dispel my sense of strangeness; and in time i yielded to my yawns and took my turn at slumber."
176,EAP,0.7239455670955766,"the scarlet stains upon the body and especially upon the face of the victim, were the pest ban which shut him out from the aid and from the sympathy of his fellow men."
177,EAP,0.4150961277510456,"scissors, the whig editor, republished a treatise upon ""the nature and origin of subterranean noises."""
178,EAP,0.4540727753630369,"her tales, however, commanded a wide audience, and were the more readily accepted because the house indeed stood on land once used for burial purposes."
179,EAP,0.1681837175140756,"i am writing this under an appreciable mental strain, since by tonight i shall be no more."
180,HPL,0.1524104592144668,and now the first positive effort to think.
181,EAP,0.3189640689414532,"being little of a cynic, i had all the sentiments of a dog."
182,EAP,0.11159693114900987,"""eleben"" assented the little ones."
183,EAP,0.180792542399166,"he grew deranged through love, and fancied himself possessed of two heads."
184,HPL,0.34729926252076493,the madness and monstrosity lay in the figures in the foreground for pickman's morbid art was preëminently one of daemoniac portraiture.
185,EAP,0.14473655869974456,my sensations upon recognising this sign of actual peril were perhaps less rather than more tumultuous because of my previous vague fears.
186,HPL,0.1587333521104092,a boy is sent with the parcel and change.
187,EAP,0.6044568125131926,"shortly before the final overthrow of the earth, there were, i well remember, many very successful experiments in what some philosophers were weak enough to denominate the creation of animalculae."
188,EAP,0.18066330948268064,"dr. torres knew, but the shock killed him."
189,EAP,0.35119475831290736,"united to her, cherished in her dear heart, never again shall i know the misery of finding myself alone."
190,EAP,0.3379311533176243,"yet each foreign post day she watched for the arrival of letters knew the post mark, and watched me as i read."
191,HPL,0.07080490426565347,its ponderous wings are slowly and musically expanded.
192,HPL,0.21528300693793795,perhaps i should not hope to convey in mere words the unutterable hideousness that can dwell in absolute silence and barren immensity.
193,EAP,0.24699425775074418,that you did combine them i saw by the character of the smile which passed over your lips.
194,EAP,0.3928422195322629,"but we were now, in a great measure, rid of these annoyances just as death condemned felons in prison are allowed petty indulgences, forbidden them while their doom is yet uncertain."
195,MWS,0.01258870882321788,do you remember your father?
196,EAP,0.7969190872709888,"i would say more than this, sir, were it not for the fear of giving you offence here the speaker smiled blandly, i would say, sir, that your opinions are not the opinions to be expected from a gentleman."""
197,EAP,0.3506089024248403,as the bus reached a lower level i began to catch the steady note of a waterfall through the unnatural stillness.
198,EAP,0.396340123805134,"the unfortunate inquirer staggered against a wall, a faint cry escaped her ""o were you cruel enough,"" she exclaimed, ""to send him there?"""
199,EAP,0.9396266891819129,"so, perhaps, do his companions; and the difference in the extent of the information obtained, lies not so much in the validity of the inference as in the quality of the observation."
200,EAP,0.9394931485015446,"for five entire days and nights during which our only subsistence was a small quantity of jaggeree, procured with great difficulty from the forecastle the hulk flew at a rate defying computation, before rapidly succeeding flaws of wind, which, without equalling the first violence of the simoom, were still more terrific than any tempest i had before encountered."
201,EAP,0.32686450790259286,"the parchment was voluminous, and held only the strange hieroglyphs of an unknown tongue written with an antique reed."
202,EAP,0.3437423267955837,"the motion of this latter is thought, of which perception is the first undulation."
203,EAP,0.20650558501587407,"let me alone, and i'll explain it all in a minute."
204,EAP,0.3352732630019083,"he is the soul of antique aegyptus, and bearer of tales from forgotten cities in meroë and ophir."
205,EAP,0.3641438965447426,"he and his companion entered the cottage, in which they remained for a few minutes, and then departed."
206,MWS,0.21159834763266602,"i now made arrangements for my journey, but one feeling haunted me which filled me with fear and agitation."
207,EAP,0.08474663886723041,it would be irrational to suppose that we can.
208,EAP,0.4356657002916356,"pursuing these reflections, i thought that if i could bestow animation upon lifeless matter, i might in process of time although i now found it impossible renew life where death had apparently devoted the body to corruption."
209,EAP,0.7100444130456323,"i do not choose, however, to commit myself on a theme of such importance, and must refer the reader desirous of information to the ""oratiunculae de rebus praeter veteris,"" of dundergutz."
210,EAP,0.5326894662249773,"he bequeathed his widow and orphans to the friendship of his royal master, and felt satisfied that, by this means, their prosperity was better assured in his death than in his life."
211,EAP,0.08273060537005847,it would be barbarous to do more than suggest what had killed gilman.
212,EAP,0.04413734874364067,this witness volunteered his testimony.
213,EAP,0.9090372578498229,"in the frescoed halls of the monarch did he sing, upon a crystal dais raised over a floor that was a mirror, and as he sang he brought pictures to his hearers till the floor seemed to reflect old, beautiful, and half remembered things instead of the wine reddened feasters who pelted him with roses."
214,EAP,0.21676237082093058,"you will take her back to windsor."" ""not without you,"" i said."
215,EAP,0.3525172418249411,"in a hamlet twenty miles away an orgy of fear had followed the bolt which brought me above ground, and a nameless thing had dropped from an overhanging tree into a weak roofed cabin."
216,EAP,0.33042702863370654,"but this discovery gives us three new letters, o, u and g, represented by ? and ."
217,EAP,0.4651437285419511,"i had hitherto attended the schools of geneva, but my father thought it necessary for the completion of my education that i should be made acquainted with other customs than those of my native country."
218,EAP,0.2906922145783345,"all the houses were apparently deserted, and there were occasional gaps where tumbledown chimneys and cellar walls told of buildings that had collapsed."
219,EAP,0.45707097902549765,"on one occasion i startled a villager by leading him confidently to a shallow sub cellar, of whose existence i seemed to know in spite of the fact that it had been unseen and forgotten for many generations."
220,EAP,0.4807766036727995,"the boat did not seem to sink into the water at all, but to skim like an air bubble upon the surface of the surge."
221,MWS,0.1717667619955513,"my dear son, i entreat you never to make such an assertion again."""
222,EAP,0.14682151641904206,what minor evils might arise from the contact were points of elaborate question.
